DISCIPLINE,00000000-0000-0000-0000-000000000000,Combined
CHAPTER,d7dff36f-7201-4d37-a4d6-b62e07fab910,Course Design,1,The following general principles of course design list the criteria~ responsibilities and restrictions governing Course Designers as the architects of the sport of IPSC shooting. ,00000000-0000-0000-0000-000000000000
CHAPTER,e925c9bc-bf05-40b4-b0a3-e563c243116d,Range and Course Construction,2,The following general regulations of course construction list the criteria~ responsibilities and restrictions applicable to courses of fire in IPSC matches. Course Designers~ host organizations and officials are governed by these regulations. ,00000000-0000-0000-0000-000000000000
CHAPTER,8d19825f-8c92-4012-af72-6c805ead4fcb,Course Information,3,,00000000-0000-0000-0000-000000000000
CHAPTER,c5232c99-1f50-45be-892d-774150ca4fb2,Range Equipment,4,,00000000-0000-0000-0000-000000000000
CHAPTER,85e99bbf-42f9-4e23-87f1-e0ccbc4ee0a6,Competitor Equipment,5,,00000000-0000-0000-0000-000000000000
CHAPTER,409eb8b2-7f9c-4ca2-b171-5b43b801881a,Match Structure,6,,00000000-0000-0000-0000-000000000000
CHAPTER,0860c5e2-d755-4c77-8866-9b31f15e1998,Match Management,7,,00000000-0000-0000-0000-000000000000
CHAPTER,6b6cdf89-79d9-4307-8e41-8e4673d4ef8b,The Course of Fire,8,,00000000-0000-0000-0000-000000000000
CHAPTER,b5ae926f-e6b9-4e48-8edd-9a977b4279c8,Scoring,9,,00000000-0000-0000-0000-000000000000
CHAPTER,08e8bb50-d456-420f-af24-34c5b92b10a6,Penalties and Disqualifications,10,,00000000-0000-0000-0000-000000000000
CHAPTER,74f7cf55-6892-45b2-829c-7aab1ed33225,Arbitration and Interpretation of Rules,11,,00000000-0000-0000-0000-000000000000
CHAPTER,1cdda85a-5f33-40b7-bc6a-5641ee46ab02,Miscellaneous Matters,12,,00000000-0000-0000-0000-000000000000
SUBRULE,e5654d34-d50b-4dcc-8f46-8e5b95caa754, (Handgun only),1.1.5.4,If a written stage briefing specifies strong or weak hand only~ Rule 10.2.8 will apply. If a competitor is merely required to carry~ retain or grasp an object during his attempt at a course of fire~ Rule 10.2.2 will apply.,1c17dca5-9c8b-4c4a-8ebb-71efb091b1c4,00000000-0000-0000-0000-000000000000
SUBRULE,8e90b3d7-131f-4e92-8586-a50b84d0e0e0, (Handgun | Shotgun | Rifle | PCC only),1.1.5.5,Course Designers may give competitors freedom to await the Start Signal anywhere within the boundaries of a well demarcated firing zone.,1c17dca5-9c8b-4c4a-8ebb-71efb091b1c4,00000000-0000-0000-0000-000000000000
SUBRULE,70106a47-cf26-43a4-9de1-3e144150eaeb, (Shotgun only),1.1.5.3,Short Courses and Classifiers may specify that only the weak shoulder is to be used when shooting.,1c17dca5-9c8b-4c4a-8ebb-71efb091b1c4,00000000-0000-0000-0000-000000000000
SUBRULE,4bd8dc49-5932-439b-9b65-01109ca32b91, (Shotgun | Rifle | PCC only),1.1.5.4,If a written stage briefing specifies that a competitor is required to carry~ retain or grasp an object during his attempt at a course of fire~ Rule 10.2.2 will apply.,1c17dca5-9c8b-4c4a-8ebb-71efb091b1c4,00000000-0000-0000-0000-000000000000
SUBRULE,a2c82fec-a14f-4a76-a8cc-121eafb54abd, (Rifle | PCC only),1.1.5.3,General Courses and Classifiers may not specify that the weak shoulder is to be used when shooting.,1c17dca5-9c8b-4c4a-8ebb-71efb091b1c4,00000000-0000-0000-0000-000000000000
SUBRULE,d1258fda-36d0-4bc8-8430-909fa2a33207, (MiniRifle only),1.1.5.1,Level I and Level II matches are not required to comply strictly with the freestyle requirements or round count limitations (see Section 1.2).,f7a4e55c-0c64-488b-9424-ad4d6870a61f,00000000-0000-0000-0000-000000000000
SUBRULE,40ae9b53-697f-4e33-8cda-84b763ed8677, (MiniRifle only),1.1.5.2,Short Courses and Classifiers may include mandatory reloads and may dictate a shooting position~ location and/or stance. When a mandatory reload is required~ it must be completed after the competitor shoots at his first target~ and before he shoots at his final target. Violations are subject to one procedural penalty.,f7a4e55c-0c64-488b-9424-ad4d6870a61f,00000000-0000-0000-0000-000000000000
SUBRULE,c51e72bd-1d75-4f58-9cd9-7c4a14af73e0, (MiniRifle only),1.1.5.3,General Courses and Classifiers may not specify that the weak shoulder is to be used when shooting.,f7a4e55c-0c64-488b-9424-ad4d6870a61f,00000000-0000-0000-0000-000000000000
SUBRULE,c5fd920c-a3c1-4cab-a2c8-b910d43db43d, (MiniRifle only),1.1.5.4,If a written stage briefing specifies that a competitor is required to carry~ retain or grasp an object during his attempt at a course of fire~ Rule 10.2.2 will apply.,f7a4e55c-0c64-488b-9424-ad4d6870a61f,00000000-0000-0000-0000-000000000000
SUBRULE,dfa11169-c7ee-4aee-8568-7f1b9c32a32b, (MiniRifle only),1.1.5.5,Course Designers may give competitors freedom to await the Start Signal anywhere within the boundaries of a well demarcated firing zone.,f7a4e55c-0c64-488b-9424-ad4d6870a61f,00000000-0000-0000-0000-000000000000
SUBRULE,6771a888-99f8-448a-9486-baaba9f670fd, (ActionAir only),1.2.1.1,Must not require more than 12 projectiles to complete. Course design and construction must not require more than 9 scoring hits from any single location or view.,ebd49d43-84f2-4cf0-a21e-c354f31d8acf,00000000-0000-0000-0000-000000000000
SUBRULE,a7e3f60e-af6d-48fa-a5ef-0a06a9cddb98, (ActionAir only),1.2.1.2,Must not require more than 24 projectiles to complete. Course design and construction must not require more than 9 scoring hits from any single location or view~ nor allow a competitor to shoot all targets in the course of fire from any single location or view.,ebd49d43-84f2-4cf0-a21e-c354f31d8acf,00000000-0000-0000-0000-000000000000
SUBRULE,6d1489c7-677a-41ce-bf1a-c0375f33ad00, (ActionAir only),1.2.1.3,Must not require more than 32 projectiles to complete. Course design and construction must not require more than 9 scoring hits from any single location or view~ nor allow a competitor to shoot all targets in the course of fire from any single location or view.,ebd49d43-84f2-4cf0-a21e-c354f31d8acf,00000000-0000-0000-0000-000000000000
SUBRULE,2c8459b0-209c-4863-8e9a-fb2370cc56b3,,1.2.1.4,The approved balance for an IPSC sanctioned match is a ratio of 3 Short Courses to 2 Medium Courses to 1 Long Course (see Approved Stage Ratios in Appendix A4).,ebd49d43-84f2-4cf0-a21e-c354f31d8acf,00000000-0000-0000-0000-000000000000
SUBRULE,ecb51968-d864-4ddc-886a-eff8aab9384f, (ActionAir | Handgun only),1.2.1.5,Empty chamber and/or empty magazine well/cylinder handgun ready conditions (see Chapter 8)~ should not be required for more than 25% of the courses of fire in a match.,ebd49d43-84f2-4cf0-a21e-c354f31d8acf,00000000-0000-0000-0000-000000000000
SUBRULE,3f3e2e83-1c08-4095-afb2-74000017a9fc, (Handgun only),1.2.1.1,Must not require more than 12 rounds to complete. Course design and construction must not require more than 9 scoring hits from any single location or view.,ebd49d43-84f2-4cf0-a21e-c354f31d8acf,00000000-0000-0000-0000-000000000000
SUBRULE,a84076d8-dc23-4aac-8dd7-7624c1208a5b, (Handgun only),1.2.1.2,Must not require more than 24 rounds to complete. Course design and construction must not require more than 9 scoring hits from any single location or view~ nor allow a competitor to shoot all targets in the course of fire from any single location or view.,ebd49d43-84f2-4cf0-a21e-c354f31d8acf,00000000-0000-0000-0000-000000000000
SUBRULE,113b9136-4f62-4b31-b83e-609bff7911c8, (Handgun only),1.2.1.3,Must not require more than 32 rounds to complete. Course design and construction must not require more than 9 scoring hits from any single location or view~ nor allow a competitor to shoot all targets in the course of fire from any single location or view.,ebd49d43-84f2-4cf0-a21e-c354f31d8acf,00000000-0000-0000-0000-000000000000
SUBRULE,02629e59-15ae-4b2f-b35e-04c92ac1aae1, (Shotgun only),1.2.1.1,Must not require more than 8 rounds to complete and are restricted to a maximum of 12 scoring hits.,ebd49d43-84f2-4cf0-a21e-c354f31d8acf,00000000-0000-0000-0000-000000000000
SUBRULE,6e51a687-bbeb-442d-acf5-4d8c0935d52c, (Shotgun only),1.2.1.2,Must not require more than 16 rounds to complete and are restricted to a maximum of 24 scoring hits. Course design and construction must not require more than 8 rounds to be shot from any single location or view.,ebd49d43-84f2-4cf0-a21e-c354f31d8acf,00000000-0000-0000-0000-000000000000
SUBRULE,4d6ec80b-2be0-434c-bf39-c49763707c00, (Shotgun only),1.2.1.3,Must not require more than 28 rounds to complete and are restricted to a maximum of 32 scoring hits. Course design and construction must not require more than 8 rounds to be shot from any single location or view. A COF requiring 24 or more rounds must not stipulate an unloaded gun as a start condition.,ebd49d43-84f2-4cf0-a21e-c354f31d8acf,00000000-0000-0000-0000-000000000000
SUBRULE,7936392e-94ee-41f8-9761-847ea9eaf17a, (Shotgun only),1.2.1.5,Empty chamber and/or empty magazine well/cylinder firearm ready conditions (see Chapter 8)~ should not be required for more than 25% of the courses of fire in a match.,ebd49d43-84f2-4cf0-a21e-c354f31d8acf,00000000-0000-0000-0000-000000000000
SUBRULE,b87d6a6d-81dc-49b6-977c-dbf693654142, (Rifle only),1.2.1.1,Must not require more than 5 rounds to complete for Manual Action Divisions~ and 10 rounds for Semi Auto Divisions. If 2 hits per paper target are required~ the number of rounds is increased to 10.,ebd49d43-84f2-4cf0-a21e-c354f31d8acf,00000000-0000-0000-0000-000000000000
SUBRULE,541c02cb-81b8-4e0f-82db-398de42b357e, (Rifle only),1.2.1.2,Must not require more than 10 rounds to complete. Course design and construction must normally not require more than 5 scoring targets to be shot from any single location or view~ nor allow a competitor to shoot all targets in the course of fire from any single location or view. With a minimum distance of 100 meters it can be required to shoot 8 scoring targets from a single location or view. If 2 hits per paper target are required~ the number of maximum rounds to complete is increased to 20 and the maximum number of scoring hits from any single location or view is increased to 10 (16 for targets placed at more than 100 meters distance).,ebd49d43-84f2-4cf0-a21e-c354f31d8acf,00000000-0000-0000-0000-000000000000
SUBRULE,df42f05e-c937-41f3-ae83-a37c908b1eef, (Rifle only),1.2.1.3,Must not require more than 20 rounds to complete. Course design and construction must normally not require more than 5 scoring targets to be shot from any single location or view~ nor allow a competitor to shoot all targets in the course of fire from any single location or view. With a minimum distance of 100 meters it can be required to shoot 8 scoring targets from a single location or view. If 2 hits per paper target are required~ the number of maximum rounds to complete is increased to 40 and the maximum number of scoring hits from any single location or view is increased to 10 (16 for targets placed at more than 100 meters distance).,ebd49d43-84f2-4cf0-a21e-c354f31d8acf,00000000-0000-0000-0000-000000000000
SUBRULE,9b3fa802-4512-4c63-9f7a-e6f9578dbee8, (Rifle | MiniRifle only),1.2.1.5,Option 2 and/or Option 3 rifle ready conditions (see Chapter 8)~ should not be required for more than 25% of the courses of fire in a match.,ebd49d43-84f2-4cf0-a21e-c354f31d8acf,00000000-0000-0000-0000-000000000000
SUBRULE,f8537099-4ebe-4a52-8528-158948eaac37, (Rifle only),1.2.1.6,The recommended balance for an IPSC Rifle match with regards to target distance is: 30% of all targets to be less than 60 meters~ 50% to be between 60 and 150 meters and 20% to be between 150 and 300 meters.,ebd49d43-84f2-4cf0-a21e-c354f31d8acf,00000000-0000-0000-0000-000000000000
SUBRULE,d28a54f7-f58c-4aef-8b9c-93f38c0d5c85, (MiniRifle only),1.2.1.1,Must not require more than 10 rounds to complete.,ebd49d43-84f2-4cf0-a21e-c354f31d8acf,00000000-0000-0000-0000-000000000000
SUBRULE,d2f775c1-884e-4815-9e86-6e2a8e5dd6da, (MiniRifle only),1.2.1.2,Must not require more than 20 rounds to complete. Course design and construction must not require more than 5 scoring targets to be shot from any single location or view~ nor allow a competitor to shoot all targets in the course of fire from any single location or view.,ebd49d43-84f2-4cf0-a21e-c354f31d8acf,00000000-0000-0000-0000-000000000000
SUBRULE,49d28b92-47a7-4587-846e-fec6bba0cfc5, (MiniRifle only),1.2.1.3,Must not require more than 40 rounds to complete. Course design and construction must not require more than 5 scoring targets to be shot from any single location or view~ nor allow a competitor to shoot all targets in the course of fire from any single location or view.,ebd49d43-84f2-4cf0-a21e-c354f31d8acf,00000000-0000-0000-0000-000000000000
SUBRULE,698f3b34-449d-4bbf-a06a-82ed36f2f3bf, (MiniRifle only),1.2.1.6,The recommended balance for an IPSC Mini Rifle match with regards to target distance is: 30% of all targets to be less than 25 meters~ 50% to be between 25 and 40 meters and 20% to be between 40 and 120 meters.,ebd49d43-84f2-4cf0-a21e-c354f31d8acf,00000000-0000-0000-0000-000000000000
SUBRULE,39ced53f-a61f-4989-9b22-dfeb436ebe2f, (MiniRifle only),1.2.1.7,Where the physical dimensions of a range preclude the siting of targets at distances greater than 50 meters~ it is recommended that the IPSC Micro Target be used (see Appendix B5).,ebd49d43-84f2-4cf0-a21e-c354f31d8acf,00000000-0000-0000-0000-000000000000
SUBRULE,cea39467-3165-4fee-9d2c-00f414206a93, (PCC only),1.2.1.1,Must not require more than 12 rounds to complete. Course design and construction must not require more than 10 scoring hits from any single location or view.,ebd49d43-84f2-4cf0-a21e-c354f31d8acf,00000000-0000-0000-0000-000000000000
SUBRULE,3c45d281-504e-48ac-a213-2c8f1b1fdc41, (PCC only),1.2.1.2,Must not require more than 24 rounds to complete. Course design and construction must not require more than 10 scoring hits from any single location or view~ nor allow a competitor to shoot all targets in the course of fire from any single location or view.,ebd49d43-84f2-4cf0-a21e-c354f31d8acf,00000000-0000-0000-0000-000000000000
SUBRULE,5554aef2-de67-4a75-a62d-f97e7a0d211d, (PCC only),1.2.1.3,Must not require more than 40 rounds to complete. Course design and construction must not require more than 10 scoring hits from any single location or view~ nor allow a competitor to shoot all targets in the course of fire from any single location or view.,ebd49d43-84f2-4cf0-a21e-c354f31d8acf,00000000-0000-0000-0000-000000000000
SUBRULE,aa84e866-3e64-4502-8100-bd1d0705e055, (PCC only),1.2.1.5,Option 2 and/or Option 3 firearm ready conditions (see Chapter 8)~ should not be required for more than 25% of the courses of fire in a match.,ebd49d43-84f2-4cf0-a21e-c354f31d8acf,00000000-0000-0000-0000-000000000000
SUBRULE,5efd3d6a-54c2-4939-8ec9-72bf81604eb2,Classifiers,1.2.2.1,Courses of fire authorized by a Regional Director and/or IPSC~ which are available to competitors seeking a regional and/or international classification. Classifiers must be set up in accordance with these rules and be conducted strictly in accordance with the notes and diagrams accompanying them. Results must be submitted to the authorizing entity in the format required (with the applicable fees~ if any)~ in order for them to be recognized.,979761de-015a-4cb7-8b22-2a304a09b2ab,00000000-0000-0000-0000-000000000000
SUBRULE,4407a139-d55e-4fb0-9ecd-023f1264d0a7, (ActionAir only),1.2.2.2,Shoot-Off � An event conducted separately from a match. Two eligible competitors simultaneously engage two identical and adjacent target arrays in a process of one or more elimination bouts (see Appendix A3). It is recommended that rigid targets be used~ and that the final target for each competitor is set so that it overlaps that of the other competitor when struck down~ with the winner being the competitor whose target is on the bottom. Each target array must not exceed 12 projectiles and each competitor must perform a mandatory reload after shooting at his first target~ and before he shoots at his final target. Violations are subject to automatic forfeiture of the bout.,979761de-015a-4cb7-8b22-2a304a09b2ab,00000000-0000-0000-0000-000000000000
SUBRULE,1598eae4-589b-45b2-8c00-b675b3331262, (Handgun only),1.2.2.2,Shoot-Off � An event conducted separately from a match. Two eligible competitors simultaneously engage two identical and adjacent target arrays in a process of one or more elimination bouts (see Appendix A3). It is recommended that metal targets be used~ and that the final target for each competitor is set so that it overlaps that of the other competitor when struck down~ with the winner being the competitor whose target is on the bottom. Each target array must not exceed 12 rounds and each competitor must perform a mandatory reload after shooting at his first target~ and before he shoots at his final target. Violations are subject to automatic forfeiture of the bout.,979761de-015a-4cb7-8b22-2a304a09b2ab,00000000-0000-0000-0000-000000000000
SUBRULE,e7d1cd37-ae37-4279-9bb7-fd87f78d529e, (Shotgun only),1.2.2.2,Shoot-Off � An event conducted separately from a match. Two eligible competitors simultaneously engage two identical and adjacent target arrays in a process of one or more elimination bouts (see Appendix A3). It is recommended that metal targets be used~ and that the final target for each competitor is set so that it overlaps that of the other competitor when struck down~ with the winner being the competitor whose target is on the bottom. Each target array must not exceed 8 rounds and each competitor may be required to perform a mandatory reload after shooting at his first target~ and before he shoots at his final target. Violations are subject to automatic forfeiture of the bout.,979761de-015a-4cb7-8b22-2a304a09b2ab,00000000-0000-0000-0000-000000000000
SUBRULE,673d0c99-8f71-468d-88db-19ff41129b1b, (Rifle only),1.2.2.2,Shoot-Off � An event conducted separately from a match. Two eligible competitors simultaneously engage two identical and adjacent target arrays in a process of one or more elimination bouts (see Appendix A3). It is recommended that metal targets be used~ and that the final target for each competitor is set so that it overlaps that of the other competitor when struck down~ with the winner being the competitor whose target is on the bottom. Each target array must not exceed 6 rounds for Manual Action Divisions~ and 12 rounds for Semi Auto Divisions and each competitor may be required to perform a mandatory reload after shooting at his first target~ and before he shoots at his final target. Violations are subject to automatic forfeiture of the bout.,979761de-015a-4cb7-8b22-2a304a09b2ab,00000000-0000-0000-0000-000000000000
SUBRULE,7c992ec6-51a5-4f47-9721-c15c43b8b5b1, (MiniRifle | PCC only),1.2.2.2,Shoot-Off � An event conducted separately from a match. Two eligible competitors simultaneously engage two identical and adjacent target arrays in a process of one or more elimination bouts (see Appendix A3). It is recommended that metal targets be used~ and that the final target for each competitor is set so that it overlaps that of the other competitor when struck down~ with the winner being the competitor whose target is on the bottom. Each target array must not exceed 12 rounds and each competitor may be required to perform a mandatory reload after shooting at his first target~ and before he shoots at his final target. Violations are subject to automatic forfeiture of the bout.,979761de-015a-4cb7-8b22-2a304a09b2ab,00000000-0000-0000-0000-000000000000
SUBRULE,4648b0f8-7cf8-45e1-a8c5-d898f3ce3c56,,1.3.3.1,Contravenes the purpose or spirit of the principles of course design; or,c6091c64-ce8b-4a28-b900-2938b42eda47,00000000-0000-0000-0000-000000000000
SUBRULE,0628c230-80bb-4172-97d2-769d0fb467a4,,1.3.3.2,Has been constructed at significant variance to the sanctioned design; or,c6091c64-ce8b-4a28-b900-2938b42eda47,00000000-0000-0000-0000-000000000000
SUBRULE,e8f9cf8d-55de-4125-b40e-1360ce8a5963,,1.3.3.3,Is in breach of any current IPSC Rules; or,c6091c64-ce8b-4a28-b900-2938b42eda47,00000000-0000-0000-0000-000000000000
SUBRULE,8a9e58b8-a75b-45b2-bdb1-32ac66307826,,1.3.3.4,Is likely to bring the sport of IPSC shooting into disrepute; or,c6091c64-ce8b-4a28-b900-2938b42eda47,00000000-0000-0000-0000-000000000000
SUBRULE,27131c5f-2a93-4c22-8e9d-cc3e47635336,,1.3.3.5,If the provisions of Rule 6.5.1.1 have not been observed.,c6091c64-ce8b-4a28-b900-2938b42eda47,00000000-0000-0000-0000-000000000000
SUBRULE,1e8bb9d1-55d2-451c-8188-ec4d4f31c64c,,2.1.2.1,Subject to the direction and approval of the Regional Director~ stage(s) or range specific muzzle angles (reduced or increased) may be permitted. Violations are subject to Rule 10.5.2. Full details of the applicable angles and any conditional factors (e.g. a reduced vertical muzzle angle only applies when a finger is inside the trigger guard)~ should be published in advance of the match and must be included in the written stage briefings (also see Section 2.3).,98fc5a41-d469-4086-ae9a-b83fe0c25de1,00000000-0000-0000-0000-000000000000
SUBRULE,0cf1f8c1-0793-4727-aec5-cc70bc7a9565,,2.1.8.1,Target placement should be clearly marked on the target stands for target replacement and target stands should be securely fixed or their locations should be clearly marked on the range surface to ensure consistency throughout the entire match. Furthermore~ target types should be specified and identified on the target frames or stands prior to the start of the match to ensure that a scoring target is not interchanged with a no-shoot after the match has commenced.,e470a317-250a-4160-94df-51e5be6be492,00000000-0000-0000-0000-000000000000
SUBRULE,b4e5408c-c810-4ba4-81df-708f78aa1c75, (ActionAir only),2.1.8.2,When paper and rigid targets are used in close proximity in a course of fire~ care must be taken to minimize the risk of ricochets from rigid targets.,e470a317-250a-4160-94df-51e5be6be492,00000000-0000-0000-0000-000000000000
SUBRULE,67cb2d8e-337d-4641-b74b-807be425b55a, (ActionAir only),2.1.8.3,When IPSC Action Air Poppers are used in a course of fire~ care should be taken to ensure that the location or foundation area is prepared to provide consistent operation throughout the match.,e470a317-250a-4160-94df-51e5be6be492,00000000-0000-0000-0000-000000000000
SUBRULE,3e6472d3-1c7e-460b-9356-23dd271d9196, (ActionAir | Handgun | Shotgun only),2.1.8.4,Static targets (i.e. those which are not activated) must not be presented at an angle greater than 90 degrees from the vertical.,e470a317-250a-4160-94df-51e5be6be492,00000000-0000-0000-0000-000000000000
SUBRULE,6dd1ffed-4100-4320-aa64-5b8b7d2ec9ba, (Handgun | Rifle | MiniRifle | PCC only),2.1.8.2,When paper and metal targets are used in close proximity in a course of fire~ care must be taken to,e470a317-250a-4160-94df-51e5be6be492,00000000-0000-0000-0000-000000000000
SUBRULE,b4ed4cb9-935d-4419-a3cd-4ceb8cb05862, (Handgun | Shotgun | Rifle | MiniRifle | PCC only),2.1.8.3,When IPSC Poppers are used in a course of fire~ care should be taken to ensure that the location or foundation area is prepared to provide consistent operation throughout the match.,e470a317-250a-4160-94df-51e5be6be492,00000000-0000-0000-0000-000000000000
SUBRULE,3c01d15a-111e-4a51-a7bf-075aa36ceb2f, (Shotgun only),2.1.8.2,When paper and metal targets are used in close proximity in a course of fire~ care must be taken to minimize the risk of splatter from metal targets.,e470a317-250a-4160-94df-51e5be6be492,00000000-0000-0000-0000-000000000000
SUBRULE,c866f71a-0b20-4a94-be38-d7b6fe3b0ca7, (Rifle | MiniRifle | PCC only),2.1.8.4,Static targets (i.e. those which are not activated)~ with the exception of the Universal target~ must not be presented at an angle greater than 90 degrees from the vertical.,e470a317-250a-4160-94df-51e5be6be492,00000000-0000-0000-0000-000000000000
SUBRULE,c1e750c1-b921-4783-bce3-2a70b0e54ed5, (Shotgun only),2.1.3.1,The minimum distance is 5 meters. Fault Lines must be placed at least 6 meters from the targets or metal hard cover.,a88e50c3-b458-4a77-b291-f4f174ba68a5,00000000-0000-0000-0000-000000000000
SUBRULE,4bda134d-e8be-4bb9-bd3a-a88b6cd87c19, (Shotgun only),2.1.3.2,The minimum distance is 40 meters. Fault Lines must be placed at least 41 meters from the targets or metal hard cover.,a88e50c3-b458-4a77-b291-f4f174ba68a5,00000000-0000-0000-0000-000000000000
SUBRULE,749faf94-72a8-4190-876d-c0bfb85521bb,,2.2.1.1,To prevent unsafe and/or unrealistic charging at~ or retreat from~ targets;,1361e1d3-b901-4fb7-868f-7a6b1a747d40,00000000-0000-0000-0000-000000000000
SUBRULE,37e39ed6-60d5-48aa-b9d2-d7833abe3a37,,2.2.1.2,To simulate the use of physical barriers and/or cover;,1361e1d3-b901-4fb7-868f-7a6b1a747d40,00000000-0000-0000-0000-000000000000
SUBRULE,e21ba03c-b28f-45e9-a55f-55f58948e658,,2.2.1.3,To define the boundaries of a general shooting area or part thereof.,1361e1d3-b901-4fb7-868f-7a6b1a747d40,00000000-0000-0000-0000-000000000000
SUBRULE,fd2852dd-9851-46e7-aeb3-6a87213c8694,,2.2.1.4,Fault Lines must be fixed firmly in place~ they must rise at least 2 centimeters above ground level~ they should be constructed of wood or other rigid materials~ and they should be of a consistent color (preferably red)~ at every COF in a match. Unless used in a continuous manner to define the boundary of a general shooting area~ fault lines must be a minimum of 1.5 meters in length~ but they are deemed to extend to infinity (also see Rule 4.4.1).,1361e1d3-b901-4fb7-868f-7a6b1a747d40,00000000-0000-0000-0000-000000000000
SUBRULE,d9886f68-9fe5-47c4-a4ea-fce4b7db54e4,,2.2.1.5,If a COF has a passageway visibly delineated by fault lines and/or a clearly demarcated shooting area~ any competitor who takes a shortcut by stepping on the ground outside the passageway and/or shooting area will incur one procedural penalty for each shot fired after beginning the shortcut.,1361e1d3-b901-4fb7-868f-7a6b1a747d40,00000000-0000-0000-0000-000000000000
SUBRULE,1aa891bf-e298-44cf-850d-0552cb8ced86, (ActionAir only),2.2.2.1,Obstacles must be firmly anchored and braced to provide adequate support when in use. Wherever possible~ unduly sharp or rough surfaces must be removed to reduce the possibility of injury to competitors and/or Match Officials.,5278d0be-b1c5-4d04-9841-7da589b3fd9f,00000000-0000-0000-0000-000000000000
SUBRULE,115a455a-0f26-409f-9ae9-374b52fbf34b, (ActionAir only),2.2.2.2,The descending side of any obstacle must be clear of obstructions or natural hazards.,5278d0be-b1c5-4d04-9841-7da589b3fd9f,00000000-0000-0000-0000-000000000000
SUBRULE,d926fdfa-3ffe-42f0-91a6-b460104363bc, (ActionAir only),2.2.2.3,Competitors must be permitted to test such obstacles before making their attempt at the course of fire.,5278d0be-b1c5-4d04-9841-7da589b3fd9f,00000000-0000-0000-0000-000000000000
SUBRULE,4d58a28b-d7c1-4f8c-8a1b-94845216ca79, (ActionAir only),2.2.2.4,Competitors must not be required to holster their handgun before ascending these obstacles.,5278d0be-b1c5-4d04-9841-7da589b3fd9f,00000000-0000-0000-0000-000000000000
SUBRULE,a34a85cc-4258-4f07-a615-a75337a8e8eb,,2.2.3.1,They must be high enough and strong enough to serve the intended purpose. Unless supplemented by a shooting platform or similar~ barriers of at least 1.8 meters high are deemed to extend skywards to infinity (also see Rule 10.2.11).,3f187981-98bb-4705-98c1-5043fe929d74,00000000-0000-0000-0000-000000000000
SUBRULE,41a9c4fc-0e05-4aa6-b740-6d904070fbfe,,2.2.3.2,They should include Fault Lines projecting rearward at ground level from the side edges.,3f187981-98bb-4705-98c1-5043fe929d74,00000000-0000-0000-0000-000000000000
SUBRULE,cc1e73b7-01ec-43b0-9c1f-3c68e7d7c6f4, (Handgun only),2.2.2.1,Obstacles must be firmly anchored and braced to provide adequate support when in use. Wherever possible~ unduly sharp or rough surfaces must be removed to reduce the possibility of injury to competitors and/or Match Officials.,979d9b74-624a-4595-a65b-77debf920122,00000000-0000-0000-0000-000000000000
SUBRULE,e4627aee-02be-4353-af4f-41986f08a038, (Handgun only),2.2.2.2,The descending side of any obstacle must be clear of obstructions or natural hazards.,979d9b74-624a-4595-a65b-77debf920122,00000000-0000-0000-0000-000000000000
SUBRULE,ea988cc6-f2b0-474e-b43d-285bd1d13abf, (Handgun only),2.2.2.3,Competitors must be permitted to test such obstacles before making their attempt at the course of fire.,979d9b74-624a-4595-a65b-77debf920122,00000000-0000-0000-0000-000000000000
SUBRULE,67c725a5-0827-42a1-9e67-5fbd98bfd5dd, (Handgun only),2.2.2.4,Competitors must not be required to holster their handgun before ascending these obstacles.,979d9b74-624a-4595-a65b-77debf920122,00000000-0000-0000-0000-000000000000
SUBRULE,4339111e-4715-48f9-ad60-904bc1d7ecd4, (ActionAir | Shotgun | Rifle | MiniRifle | PCC only),2.3.3.1,Allow the course of fire to continue with the modification affecting only those competitors who have not already completed the stage. If a competitor�s actions caused the change~ that competitor must be required to reshoot the revised course of fire~ subject to Rule 2.3.4.1; or,c2f469a8-371c-41a1-9ae1-b6a1cc5a6ab6,00000000-0000-0000-0000-000000000000
SUBRULE,3f48f9fb-c64a-45a3-9b62-b6a90225eb75,,2.3.3.2,If possible~ require all competitors to complete the course of fire as revised with all previous attempts removed from the match results.,c2f469a8-371c-41a1-9ae1-b6a1cc5a6ab6,00000000-0000-0000-0000-000000000000
SUBRULE,928a4d9f-287d-4f54-a908-ebf20ff4a5f9,,2.3.3.3,A competitor who refuses to reshoot a course of fire~ under this or any other Section~ when so ordered by a Range Officer~ will receive a zero score for that stage~ irrespective of any previous attempt.,c2f469a8-371c-41a1-9ae1-b6a1cc5a6ab6,00000000-0000-0000-0000-000000000000
SUBRULE,befdf6c2-bbab-4191-84ea-dca2029fd8a8, (Handgun only),2.3.3.1,Allow the course of fire to continue with the modification affecting only those competitors who have not already completed the stage. If a competitor's actions caused the change~ that competitor must be required to reshoot the revised course of fire~ subject to Rule 2.3.4.1; or,c2f469a8-371c-41a1-9ae1-b6a1cc5a6ab6,00000000-0000-0000-0000-000000000000
SUBRULE,bbd79700-4081-4586-bf0a-30dedff88c98,,2.3.4.1,A competitor who incurred a disqualification in a stage which is subsequently deleted~ may be entitled to reinstatement~ if the highest level of appeal pursued by the competitor (i.e. the Range Master or the Arbitration Committee~ as the case may be)~ deems that the disqualification was directly attributable to the reasons for the stage being deleted.,79ea7427-15df-442b-93be-a764ba959343,00000000-0000-0000-0000-000000000000
