DISCIPLINE,9a343f59-e142-4d31-b0d2-c6be6925a106,ActionAir
CHAPTER,8563f3dd-787b-42e6-ae77-e3ee2dbd93ef,Course Design,1,The following general principles of course design list the criteria~ responsibilities and restrictions governing Course Designers as the architects of the sport of IPSC shooting. ,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,02ef8e05-c41b-4012-b579-713b87e198ba,Range and Course Construction,2,The following general regulations of course construction list the criteria~ responsibilities and restrictions applicable to courses of fire in IPSC matches. Course Designers~ host organizations and officials are governed by these regulations. ,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,8af0bcd7-f99e-4856-9e50-f3ec7ec296ed,Course Information,3,,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,91e69ce1-bc0d-49be-8f26-48fbe81a584e,Range Equipment,4,,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,687755c6-7542-4ec3-9cec-273f1e645f1d,Competitor Equipment,5,,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,0c9fe70a-275c-415d-abdb-bc4ff0a81096,Match Structure,6,,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,38c96a8a-89bf-453d-8cca-a12fc28c11d2,Match Management,7,,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,feb1fc5f-e176-4be6-8280-183cb3752e62,The Course of Fire,8,,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,88db1f00-ca62-4449-89d4-bf2f291cdc34,Scoring,9,,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,5cdb76ee-e7cb-4667-addf-71f34186a872,Penalties and Disqualifications,10,,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,fe536705-5d38-4e99-b75e-f5e9638efb5d,Arbitration and Interpretation of Rules,11,,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,01b3528a-7163-4745-ab14-654f99b672a7,Miscellaneous Matters,12,,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,a960e8d0-2d06-42a2-bdc7-05338ffddd29,,9.7.1,The Range Officer must enter all information (including any warnings given) on each competitor�s score sheet prior to signing it. After the Range Officer has signed the score sheet~ the competitor must add his own signature in the appropriate place. Electronic score sheet signatures will be acceptable if approved by the Regional Director. Whole numbers should be used to record all scores or penalties. The elapsed time taken by the competitor to complete the course of fire must be recorded to 2 decimal places in the appropriate place.,725c08a9-4910-4221-8398-08ea6dee717a,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,142c97b3-2c11-4281-bb12-ea852ec4aa58,,9.7.2,If corrections to the score sheet are required~ these will be clearly entered onto the original and other copies of the competitor�s score sheets. The competitor and the Range Officer should initial any corrections.,725c08a9-4910-4221-8398-08ea6dee717a,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,6699b280-f431-4ec9-b945-779c18193ead,,9.7.3,Should a competitor refuse to sign or initial a score sheet~ for any reason~ the matter must be referred to the Range Master. If the Range Master is satisfied that the course of fire has been conducted and scored correctly the unsigned score sheet will be submitted as normal for inclusion in the match results.,725c08a9-4910-4221-8398-08ea6dee717a,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,684d6bfd-6490-4104-a9c9-2b4e9636745d,,9.7.4,A score sheet signed by both a competitor and a Range Officer is conclusive evidence that the course of fire has been completed~ and that the time~ scores and penalties recorded on the score sheet~ are accurate and uncontested. The signed score sheet is deemed to be a definitive document and~ with the exception of the mutual consent of the competitor and the signatory Range Officer~ or due to an arbitration decision~ the score sheet will only be changed to correct arithmetical errors or to add procedural penalties under Rule 8.6.2.,725c08a9-4910-4221-8398-08ea6dee717a,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,245262fe-ce81-4a66-8c13-2c5f6df366ab,,9.7.5,If a score sheet is found to have insufficient or excess entries~ or if the time has not been recorded on the score sheet~ it must be promptly referred to the Range Master who will normally require the competitor to reshoot the course of fire.,725c08a9-4910-4221-8398-08ea6dee717a,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,0f4e17a8-4bdc-4a2b-b15e-850ac8d09488,,9.7.6,In the event that a reshoot is not possible for any reason~ the following actions will prevail:,725c08a9-4910-4221-8398-08ea6dee717a,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,1767a127-588d-48ac-9b49-76c2c8634984,,9.7.7,In the event that an original score sheet is lost or otherwise unavailable~ the competitor's duplicate copy~ or any other written or electronic record acceptable to the Range Master~ will be used. If the competitor's copy~ or any other written or electronic record~ is unavailable~ or is deemed by the Range Master to be insufficiently legible the competitor will be required to reshoot the course of fire. If the Range Master deems that a reshoot is not possible for any reason~ the competitor will incur a zero time and score for the affected stage.,725c08a9-4910-4221-8398-08ea6dee717a,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,d7d00672-a56c-4659-9d1b-f8524c56a2ff,,9.7.8,No person~ other than an authorized Match Official~ is permitted to handle an original score sheet retained on a stage~ or at any other place~ after it has been signed by a competitor and a Range Officer~ without the prior approval of the Range Officer or personnel directly involved with Stats. Violations will incur a warning for the first offense~ but may be subject to Section 10.6 for subsequent occurrences in the same match.,725c08a9-4910-4221-8398-08ea6dee717a,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,97cc1f59-bc32-4e8b-81c9-f0d15f457d1b,,9.8.1,Each competitor has a responsibility to maintain an accurate record of their scores by verifying the lists posted by the Stats Officer.,aa9a5492-92d3-4b23-ba65-2993676587f4,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,181b6688-cc64-4732-86b6-7d2936162960,,9.8.2,After all competitors have completed a match~ the provisional stage results must be published and posted in a conspicuous place at the shooting range and~ at Level IV or higher matches~ at the official match hotel for the purpose of verification by competitors. The time and date the subject results were actually posted (not just printed) at each venue must be clearly stated thereon.,aa9a5492-92d3-4b23-ba65-2993676587f4,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,ce73fef8-7ddb-4ca4-b767-f8a1c69d933e,,9.8.3,If a competitor detects an error in those results~ he must file an appeal with the Stats Officer within 1 hour after the results were actually posted. If the appeal is not filed within the time limit~ the posted scores will stand and the appeal will be dismissed.,aa9a5492-92d3-4b23-ba65-2993676587f4,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,0570b7e4-a605-488a-9d39-bb25e3ce15d3,,9.8.4,Competitors who are scheduled (or otherwise authorized by the Match Director) to complete all courses of fire in a match in a period of time less than the full duration of the match (e.g. 1 day format in a 3 day match etc.)~ are required to check their provisional match results in accordance with the special procedures and time limits specified by the Match Director (e.g. via a website)~ failing which scoring appeals will not be accepted. The relevant procedure must be published in advance in match literature and/or by way of a notice posted in a conspicuous place at the shooting range prior to commencement of the match (also see Section 6.6).,aa9a5492-92d3-4b23-ba65-2993676587f4,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,438f8dd2-6b7f-4159-8388-240d8acfb737,,9.8.5,A Match Director may elect to have results posted electronically (e.g. via a website) either in addition to~ or as an alternative to~ physically printing them. If so~ the relevant procedure must be published in advance in match literature and/or by way of a notice posted in a conspicuous place at the shooting range prior to commencement of the match. Facilities (e.g. a computer) must be provided for competitors to view the results if a Match Director has elected to only have results posted electronically.,aa9a5492-92d3-4b23-ba65-2993676587f4,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,4f3d496c-17f0-49e3-bbb8-f71c6dd7286b,,9.9.1,Moving targets which present at least a portion of the A zone when at rest (either before or after initial activation)~ or which continuously appear and disappear for the duration of a competitor�s attempt at a COF~ are not disappearing and will always incur failure to engage and/or miss penalties.,3ff616a5-368c-435b-8c0e-30c9ecc069cd,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,86790c10-8727-449d-98e2-202ee053b445,,9.9.2,Moving targets~ which do not comply with the above criteria~ are disappearing and will not incur failure to engage or miss penalties unless a competitor fails to activate the mechanism which initiates the target movement before or when firing his last shot for that course of fire.,3ff616a5-368c-435b-8c0e-30c9ecc069cd,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,18614580-0a3c-44d9-b985-b53463e1a449,,9.9.3,Stationary targets which present at least a portion of the A zone~ either before or after activation of a moving and/or concealing no-shoot or vision barrier~ are not disappearing and will incur failure to engage and/or miss penalties.,3ff616a5-368c-435b-8c0e-30c9ecc069cd,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,b2533140-3ef9-4a0b-9d52-3731848f5036,,9.9.4,Targets which present at least a portion of the A zone each time a competitor operates a mechanical activator (e.g. a rope~ lever~ pedal~ flap~ door etc.)~ are not subject to this section.,3ff616a5-368c-435b-8c0e-30c9ecc069cd,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,4354221b-5344-4d82-8b05-b4a49dbd4010,,9.9.5,If a COF requires that a competitor be confined to an apparatus which travels from one location to another location during his attempt at a COF~ any target which can only be engaged from the apparatus for part of its travel~ and which cannot subsequently be reengaged~ is deemed to be disappearing.,3ff616a5-368c-435b-8c0e-30c9ecc069cd,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,5c58d2b0-7bb2-46d4-bd2b-db950822a6e9,,9.10.1,Only the timing device operated by a Range Officer and/or the Stop Plate included in the COF must be used to record the official elapsed time of a competitor's attempt at a course of fire. If a Range Officer assigned to a course of fire (or a more senior Match Official) deems that a timing device or Stop Plate is faulty~ a competitor whose attempt cannot be credited with an accurate time will be required to reshoot the course of fire.,37920702-6d6d-4dbd-9518-4cd7dee4fc7c,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,3eb3273c-f084-47a8-a9e8-f5ee03dccdde,,9.10.2,If~ in the opinion of an Arbitration Committee~ the time credited to a competitor for a course of fire is deemed to be unrealistic~ the competitor will be required to reshoot the course of fire (see Rule 9.7.4).,37920702-6d6d-4dbd-9518-4cd7dee4fc7c,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,7f87f193-adf7-4b60-b2e1-245c26ff0626,,9.10.3,When a Stop Plate is used in a COF~ the competitor must shoot and hit the Stop Plate with his final shot~ failing which the competitor will receive a zero score for the subject stage.,37920702-6d6d-4dbd-9518-4cd7dee4fc7c,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,dcbfa875-c04d-4b4c-933e-c8e458cbb6b2,,9.11.1,The official scoring program for all Level IV or higher matches is the latest version of the Windows� Match Scoring System (WinMSS)~ unless another scoring program is approved by the IPSC President. For other level matches~ no other scoring program can be used without the approval of the Regional Director of the host Region.,3a277fbe-3b03-46ea-8149-b8157498564f,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,4ddfa491-70d5-4eea-b6f1-a64f4f5144dc,,10.1.1,Procedural penalties are imposed when a competitor fails to comply with procedures specified in a written stage briefing and/or is found to be in violation of other general rules. The Range Officer imposing the procedural penalties must clearly record the number of penalties~ and the reason why they were imposed~ on the competitor's score sheet.,b4f0c8da-b3f3-4ddd-a470-63d167269823,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,50279a62-2d4d-446d-9889-41542c21f028,,10.1.2,Procedural penalties are assessed at minus 10 points each.,b4f0c8da-b3f3-4ddd-a470-63d167269823,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,3de50040-a7b7-4894-baa5-39e96e5c03f2,,10.1.3,A competitor disputing the application or number of procedural penalties may appeal to the Chief Range Officer and/or Range Master. A competitor who continues to be aggrieved may then lodge an appeal for arbitration.,b4f0c8da-b3f3-4ddd-a470-63d167269823,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,c173d25d-002e-4941-8f7d-657aa0dbc30e,,10.1.4,Procedural penalties cannot be nullified by further competitor action. For example~ a competitor who fires a shot at a target while faulting a line will still incur the applicable penalties even though he subsequently shoots at the same target while not faulting the line.,b4f0c8da-b3f3-4ddd-a470-63d167269823,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,f40f7299-d3c2-439f-a797-da52da83f274,,10.2.1,A competitor who fires shots while any part of their body is touching the ground or any object beyond a Fault Line will receive 1 procedural penalty for each occurrence. No penalty is assessed if a competitor does not fire any shots while faulting except when Rule 2.2.1.5 applies.,d18a63e9-ab1f-4a3e-a239-b1732d84cbc8,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,7bee0f86-d009-45fe-af42-2c3cf99edb6d,,10.2.2,A competitor who fails to comply with a procedure specified in the written stage briefing will incur 1 procedural penalty for each occurrence. However~ if a competitor has gained a significant advantage during non-compliance~ the competitor may be assessed 1 procedural penalty for each shot fired~ instead of a single penalty (e.g. firing one or more shots contrary to the required location~ shooting position or stance).,d18a63e9-ab1f-4a3e-a239-b1732d84cbc8,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,e9121df1-cdd2-48d5-b3a4-2576a3a5f657,,10.2.3,Where multiple penalties are assessed in the above cases~ they must not exceed the maximum number of scoring hits that can be attained by the competitor. For example~ a competitor who gains an advantage while faulting a Fault Line where only 4 rigid targets are visible will receive 1 procedural penalty for each shot fired while faulting~ up to a maximum of 4 procedural penalties~ regardless of the number of shots actually fired.,d18a63e9-ab1f-4a3e-a239-b1732d84cbc8,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,912d25aa-161c-4471-9c85-e9b98736b4f8,,10.2.4,A competitor who fails to comply with a mandatory reload will incur 1 procedural penalty for each shot fired after the point where the reload was required until a reload is performed.,d18a63e9-ab1f-4a3e-a239-b1732d84cbc8,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,d42cbabc-a602-4c7f-800b-c50e2c7be569,,10.2.5,In a Cooper Tunnel~ a competitor who disturbs one or more pieces of the overhead material will receive 1 procedural penalty for each piece of overhead material which falls. Overhead material which falls as a result of the competitor bumping or striking the uprights~ or as a result of muzzle gases or recoil~ will not be penalized.,d18a63e9-ab1f-4a3e-a239-b1732d84cbc8,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,79589d41-1fa9-4454-bf8e-37ab4d75e806,,10.2.6,A competitor who is creeping (e.g. moving hands towards the firearm~ a reloading device or projectile) or physically moving to a more advantageous shooting position or stance after the "Standby" command and prior to issuance of the Start Signal~ will incur 1 procedural penalty. If the Range Officer can stop the competitor in time~ a warning will be issued for the first offense and the competitor will be restarted.,d18a63e9-ab1f-4a3e-a239-b1732d84cbc8,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,c84b8f3a-a10e-437f-a675-1f6cb8c55ae5,,10.2.7,A competitor who fails to engage any scoring target with at least one projectile will incur 1 procedural penalty per target~ plus the applicable number of misses~ except where the provisions of Rule 9.9.2 apply.,d18a63e9-ab1f-4a3e-a239-b1732d84cbc8,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,7ef44a1b-07da-4e32-8bce-657057c28b68,,10.2.8,If a course of fire (or part thereof) stipulates shooting strong or weak hand only~ a competitor will incur one procedural penalty for each occurrence of touching the handgun (or scooping it from a table etc.) with the other hand after the Start Signal (or from the point where single hand shooting has been stipulated). Exceptions are releasing an external safety (without scooping)~ reloading or correcting a malfunction. However~ the procedural penalty will be applied on a "per shot fired" basis when a competitor uses the other hand or arm to:,d18a63e9-ab1f-4a3e-a239-b1732d84cbc8,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,51661fab-5639-41e4-8c08-34655fd1df54,,10.2.9,A competitor who leaves a shooting location may return and shoot again from the same location provided they do so safely. However~ written stage briefings for Classifiers and Level I & II matches may prohibit such actions~ in which case 1 procedural penalty per shot fired will apply.,d18a63e9-ab1f-4a3e-a239-b1732d84cbc8,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,e9efa7a4-eb85-4ecd-b3a4-f2f63bf38dd8,,10.2.10,Special penalty: A competitor unable to fully execute any part of a course of fire due to incapacity or injury may~ prior to making his attempt at the course of fire~ request that the Range Master apply a penalty in lieu of the stated course requirement.,d18a63e9-ab1f-4a3e-a239-b1732d84cbc8,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,2289a21a-d0a8-4cd0-b4a4-2a19760a66dd,,10.2.11,A competitor who fires shots over a barrier constructed to a height of at least 1.8 meters will incur 1 procedural penalty for each shot fired (also see Rule 2.2.3.1).,d18a63e9-ab1f-4a3e-a239-b1732d84cbc8,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,51014365-53db-4b78-9fa9-5805306b2f2a,,10.3.1,A competitor who commits a safety infraction or any other prohibited activity during an IPSC match will be disqualified~ and will be prohibited from attempting any remaining courses of fire regardless of the schedule or physical layout of the match~ pending the verdict of any appeal submitted in accordance with Chapter 11 of these rules.,c1d06fba-4d52-4172-acf4-e3123a58714c,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,61dfc35f-f71a-4f6f-b93c-71340cb91fbe,,10.3.2,When a disqualification is issued~ the Range Officer must record the reasons for the disqualification~ and the time and date of the incident~ on the competitor's score sheet~ and the Range Master must be notified as soon as possible.,c1d06fba-4d52-4172-acf4-e3123a58714c,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,c375bad5-94c5-4ce5-946b-ed9fad7da327,,10.3.3,Scores for a competitor who has received a disqualification must not be deleted from match results~ and match results must not be declared final by the Match Director~ until the time limit prescribed in Rule 11.3.1 has passed~ provided no appeal to arbitration on any matter has been submitted to the Range Master (or his delegate).,c1d06fba-4d52-4172-acf4-e3123a58714c,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,926a0234-d420-48fe-87ce-e8fcf98c8053,,10.3.4,If an appeal to arbitration is submitted within the time limit prescribed in Rule 11.3.1~ the provisions of Rule 11.3.2 will prevail.,c1d06fba-4d52-4172-acf4-e3123a58714c,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,bfda11e6-bf6f-4726-97ab-8fe4987193eb,,10.3.5,Scores for a competitor who has completed a pre-match or main match without a disqualification will not be affected by a disqualification received while that competitor is participating in a Shoot-Off or other side match (also see Rule 6.2.4).,c1d06fba-4d52-4172-acf4-e3123a58714c,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,a5ac64fe-f477-4b30-a9cf-68add71bf76f,,10.4.1,A shot~ which travels over a backstop~ a berm or in any other direction~ specified in the written stage briefing by the match organizers as being unsafe. Note that a competitor who legitimately fires a shot at a target~ which then travels in an unsafe direction~ will not be disqualified~ but the provisions of Section 2.3 may apply.,3bcf70ac-07a0-4af5-895b-4f787598b3f1,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,5c030c21-bdfd-4b23-bb45-d1c0ac3109df,,10.4.2,A shot which strikes the ground within 3 meters of the competitor~ except when shooting at a paper target closer than 3 meters to the competitor. A shot which strikes the ground within 3 meters of the competitor due to insufficient propellant is exempt from this rule.,3bcf70ac-07a0-4af5-895b-4f787598b3f1,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,f5f00337-a195-4410-bc74-334ba1ab9812,,10.4.3,A shot which occurs while actually loading~ reloading or unloading a firearm. This includes any shot fired during the procedures outlined in Rules 8.3.1 and 8.3.7 (also see Rule 10.5.9).,3bcf70ac-07a0-4af5-895b-4f787598b3f1,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,41aa09b6-da7b-42b7-bc73-b9fd705e5e33,,10.4.4,A shot which occurs during remedial action in the case of a malfunction.,3bcf70ac-07a0-4af5-895b-4f787598b3f1,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,b81d9fa4-397f-4d1b-bfb6-20bd7746df4a,,10.4.5,A shot which occurs while transferring a handgun between hands.,3bcf70ac-07a0-4af5-895b-4f787598b3f1,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,f63b10b4-200e-400a-96fd-10e12b988763,,10.4.6,A shot which occurs during movement~ except while actually shooting at targets.,3bcf70ac-07a0-4af5-895b-4f787598b3f1,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,ac905c2a-2c89-4abd-a4c4-09512e9782de,,10.4.7,A shot fired at a rigid target from an unsafe distance (see Rule 2.1.3).,3bcf70ac-07a0-4af5-895b-4f787598b3f1,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,8a588d9e-7396-435e-b20b-35a81bef8257,,10.4.8,In this Section~ if it can be established that the cause of the discharge is due to a broken or defective part of the firearm~ the competitor has not committed any safety infraction in this Section~ and a disqualification will not be invoked~ but the competitor's scores for that stage will be zero.,3bcf70ac-07a0-4af5-895b-4f787598b3f1,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,362b369c-a109-48b9-88ed-b62542e23cd0,,10.5.1,Handling a firearm at any time except when in a designated Safety Area or when under the supervision of~ and in response to a direct command issued by~ a Range Officer.,e177a453-498b-46ad-8228-0eb1ad486071,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,997c57f5-a6d1-4ada-b6bf-4f101526504d,,10.5.2,Allowing the muzzle of a firearm to point uprange~ or past the default~ or specific safe angles of fire during a course of fire~ (limited exceptions: see Rules 2.1.2.1~ 5.2.7.3 and 10.5.6).,e177a453-498b-46ad-8228-0eb1ad486071,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,69f1e2a7-24dc-4ac8-8fd6-a079072a1560,,10.5.3,If at any time during the course of fire~ a competitor drops his firearm or causes it to fall~ loaded or not. Note that a competitor who~ for any reason during a course of fire~ safely and intentionally places the firearm on the ground or other stable object will not be disqualified provided:,e177a453-498b-46ad-8228-0eb1ad486071,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,9bc7bd0f-8d33-4532-8eac-7637e2ee989a,,10.5.4,Drawing or holstering a handgun within the confines of a tunnel.,e177a453-498b-46ad-8228-0eb1ad486071,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,5aa90292-9d33-4880-937d-8e49411a823e,,10.5.5,Allowing the muzzle of a handgun to point at any part of the competitor's body during a course of fire (i.e. sweeping). A disqualification is not applicable if sweeping occurs while drawing or re-holstering a gun~ or while taking action under Rule 8.3.6.1~ provided the competitor's fingers are clearly outside the trigger guard.,e177a453-498b-46ad-8228-0eb1ad486071,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,1d159494-ef40-4772-a4bf-0f882ddd216b,,10.5.6,Allowing the muzzle of a loaded handgun to point rearwards uprange beyond a radius of 1 meter from a competitor's feet during drawing or re-holstering. The 1 meter concession only applies when a competitor is facing directly downrange.,e177a453-498b-46ad-8228-0eb1ad486071,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,07858e79-621d-481f-a6e5-8bf285f38db0,,10.5.7,Wearing or using more than one firearm during a course of fire.,e177a453-498b-46ad-8228-0eb1ad486071,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,c3132bb8-89a7-47bf-9b11-18408f0fb286,,10.5.8,Failure to keep the finger outside the trigger guard while clearing a malfunction where the competitor clearly moves the firearm away from aiming at targets.,e177a453-498b-46ad-8228-0eb1ad486071,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,1573ea86-79a7-4195-b6a8-a8848e60711e,,10.5.9,Failure to keep the finger outside the trigger guard during loading~ reloading~ or unloading except where specifically permitted (see Rules 8.1.2.5~ 8.3.7.1 and 8.7.1).,e177a453-498b-46ad-8228-0eb1ad486071,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,5e5139af-344d-4b13-8bbf-9c3c1fa22456,,10.5.10,Failure to keep the finger outside the trigger guard during movement in accordance with Rule 8.5.1.,e177a453-498b-46ad-8228-0eb1ad486071,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,1581ad81-f3f4-438d-bc81-646045efe182,,10.5.11,Having a loaded and holstered handgun~ in any of the following conditions:,e177a453-498b-46ad-8228-0eb1ad486071,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,96647089-07da-4cd3-9fe0-1aad287ec1fa,,10.5.12,Handling projectiles~ or anything containing propellant gas~ in a Safety Area~ contrary to Rule 2.4.4.,e177a453-498b-46ad-8228-0eb1ad486071,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,192003f2-f507-4c43-8329-104f5614ea8a,,10.5.13,Having a loaded firearm other than when specifically authorized by a Range Officer.,e177a453-498b-46ad-8228-0eb1ad486071,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,b5c99b1a-e88c-46f2-995f-63413fc28441,,10.5.14,Retrieving a dropped firearm. Dropped firearms must always be retrieved by a Range Officer who will~ after checking and/or clearing the firearm~ place it directly into the competitor's gun case~ gun bag or holster. Dropping an unloaded firearm or causing it to fall outside of a course of fire is not an infraction. However~ a competitor who retrieves a dropped firearm will receive a disqualification.,e177a453-498b-46ad-8228-0eb1ad486071,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,25a66fe6-c258-4fe9-877b-dbd7661def01,,10.5.15,Using prohibited and/or unsafe projectiles (see Rules 5.5.4~ 5.5.6 and 5.6.1)~ and/or using firearm (see Rules 5.1.10 and 5.1.11).  a  prohibited,e177a453-498b-46ad-8228-0eb1ad486071,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,2ede17df-d835-4c57-96c3-61b65857e7d0,,10.6.1,Competitors will be disqualified for conduct which a Range Officer deems to be unsportsmanlike. Examples include~ but are not limited to~ cheating~ dishonesty~ failing to comply with the reasonable directions of a Match Official~ or any behavior likely to bring the sport into disrepute. The Range Master must be notified as soon as possible.,4259af76-9cec-40c9-b73d-098523f60ee0,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,2d8d54f3-2a66-4e41-b280-b1c3f74f8c9b,,10.6.2,A competitor who is deemed by a Range Officer to have intentionally removed or caused the loss of eye protection in order to gain a reshoot or advantage will be disqualified.,4259af76-9cec-40c9-b73d-098523f60ee0,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,c8984533-44c9-48a9-a4ea-a6be96009fd4,,10.6.3,Other persons may be expelled from the range for conduct which a Range Officer deems to be unacceptable. Examples include~ but are not limited to~ failing to comply with the reasonable directions of a Match Official~ interference with the operation of a course of fire and/or a competitor's attempt thereof~ and any other behavior likely to bring the sport into disrepute.,4259af76-9cec-40c9-b73d-098523f60ee0,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,23b8d585-e0e1-4a32-8e1c-b8e9b4c7bead,,10.7.1,All persons are required to be in complete control both mentally and physically during IPSC matches.,62456b8b-3555-405a-8551-a06bf1e53efc,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,e510dd98-55b1-40c1-a44a-b8339243b7e5,,10.7.2,IPSC considers the abuse of alcoholic products~ non-prescription and non-essential drugs and the use of illegal or performance enhancing drugs~ irrespective of how they are taken or administered~ to be an extremely serious offense.,62456b8b-3555-405a-8551-a06bf1e53efc,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,24c51ea9-a959-4bcc-8312-7d9a6f792bc0,,10.7.3,Except when used for medicinal purposes~ competitors and officials at matches must not be affected by drugs (including alcohol) of any sort during matches. Any person~ who in the opinion of the Range Master is visibly under the influence of any of the items described herein~ will be disqualified from the match and may be required to leave the range.,62456b8b-3555-405a-8551-a06bf1e53efc,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,af0d27b4-e0db-4f92-9e9f-a7b553da42c8,,10.7.4,IPSC reserves the right to prohibit any general or specific substances and to introduce tests for the presence of these substances at any time (see separate IPSC Anti-Doping Rules).,62456b8b-3555-405a-8551-a06bf1e53efc,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,c096423a-5f6f-4f3d-b361-d51c51872de2,Administration,11.1.1,Occasional disputes are inevitable in any competitive activity governed by rules. It is recognized that at the more significant match levels the outcome is much more important to the individual competitor. However~ effective match administration and planning will prevent most if not all disputes.,5059042f-1895-4a6a-9f06-013d10d870ca,9a343f59-e142-4d31-b0d2-c6be6925a106
RULE,e8446121-bb80-4895-ba10-78019b512571,Access,11.1.2,Appeals may be submitted to arbitration in accordance with the following rules for any matter except where specifically denied by another rule. Appeals arising from a disqualification for a safety infraction will only be accepted to determine whether exceptional circumstances warrant reconsideration of the disqualification. However~ the commission of the infraction as described by the Match Official is not subject to challenge or appeal.,5059042f-1895-4a6a-9f06-013d10d870ca,9a343f59-e142-4d31-b0d2-c6be6925a106
