DISCIPLINE,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83,Handgun
CHAPTER,d68b7723-d685-40d7-9b72-ecb1c638db9c,Course Design,1,The following general principles of course design list the criteria~ responsibilities and restrictions governing Course Designers as the architects of the sport of IPSC shooting. ,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,5bb699ac-dac3-4aba-a4f9-cba4f642c1c5,Range and Course Construction,2,The following general regulations of course construction list the criteria~ responsibilities and restrictions applicable to courses of fire in IPSC matches. Course Designers~ host organizations and officials are governed by these regulations. ,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,0dd0ecee-bb8c-494e-8720-74d5be5921a7,Course Information,3,,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,3da79bf5-68ba-45f3-b983-a1274c2e59fe,Range Equipment,4,,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,35bd0461-9cb3-4b77-94de-67f7f56a87af,Competitor Equipment,5,,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,e7531529-0ec1-4b51-b9cc-66ec25496dbe,Match Structure,6,,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,877e64c4-14e6-4844-97b3-3da3437f6bd2,Match Management,7,,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,eae65a73-4038-49eb-ba91-c51fd9ca590a,The Course of Fire,8,,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,e5d8a70a-cd17-432e-aa44-bbe4f91c526d,Scoring,9,,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,51ee17e9-7f84-443a-9bf4-fdc4bd18f311,Penalties and Disqualifications,10,,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,1c2d23c3-3dc5-455d-823e-01fafcc01921,Arbitration and Interpretation of Rules,11,,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,a50bd0e4-4327-4cf0-b319-2f79c1224d74,Miscellaneous Matters,12,,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,5d497350-864b-42a5-8bcf-e4246da35582,,9.7.3,Should a competitor refuse to sign or initial a score sheet~ for any reason~ the matter must be referred to the,713c88e2-eca8-4acd-9a73-c5300a89ebe2,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,f5cad831-6362-4869-a9b9-2db3c991b291,,9.7.4,A score sheet signed by both a competitor and a Range Officer is conclusive evidence that the course of fire has been completed~ and that the time~ scores and penalties recorded on the score sheet~ are accurate and uncontested. The signed score sheet is deemed to be a definitive document and~ with the exception of the mutual consent of the competitor and the signatory Range Officer~ or due to an arbitration decision~ the score sheet will only be changed to correct arithmetical errors or to add procedural penalties under Rule 8.6.2.,713c88e2-eca8-4acd-9a73-c5300a89ebe2,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,f57bd90f-5a47-4961-8b2c-f3dba49d9abc,,9.7.5,If a score sheet is found to have insufficient or excess entries~ or if the time has not been recorded on the score sheet~ it must be promptly referred to the Range Master who will normally require the competitor to reshoot the course of fire.,713c88e2-eca8-4acd-9a73-c5300a89ebe2,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,245221a3-2b32-46c5-b765-5a221542ad77,,9.7.6,In the event that a reshoot is not possible for any reason~ the following actions will prevail:,713c88e2-eca8-4acd-9a73-c5300a89ebe2,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,cd36b63b-1d6f-48e5-b82d-30b84aaeb4a4,,9.7.7,In the event that an original score sheet is lost or otherwise unavailable~ the competitor's duplicate copy~ or any other written or electronic record acceptable to the Range Master~ will be used. If the competitor's copy~ or any other written or electronic record~ is unavailable~ or is deemed by the Range Master to be insufficiently legible the competitor will be required to reshoot the course of fire. If the Range Master deems that a reshoot is not possible for any reason~ the competitor will incur a zero time and score for the affected stage.,713c88e2-eca8-4acd-9a73-c5300a89ebe2,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,5cea3735-c6cf-4061-81ce-77180cf08b2c,,9.7.8,No person~ other than an authorized Match Official~ is permitted to handle an original score sheet retained on a stage~ or at any other place~ after it has been signed by a competitor and a Range Officer~ without the prior approval of the Range Officer or personnel directly involved with Stats. Violations will incur a warning for the first offense~ but may be subject to Section 10.6 for subsequent occurrences in the same match.,713c88e2-eca8-4acd-9a73-c5300a89ebe2,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,504e00a4-aaef-48c9-b41f-c5393f6cf509,,9.8.1,Each competitor has a responsibility to maintain an accurate record of their scores by verifying the lists posted by the Stats Officer.,c0f181a6-f9f1-486d-9c7e-9543c9194661,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,c37cbd04-9e6a-4ed4-a266-40109c7eea63,,9.8.2,After all competitors have completed a match~ the provisional stage results must be published and posted in a conspicuous place at the shooting range and~ at Level IV or higher matches~ at the official match hotel for the purpose of verification by competitors. The time and date the subject results were actually posted (not just printed) at each venue must be clearly stated thereon.,c0f181a6-f9f1-486d-9c7e-9543c9194661,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,728b3aac-38d4-4edc-95d0-5fe214a08511,,9.8.3,If a competitor detects an error in those results~ he must file an appeal with the Stats Officer within 1 hour after the results were actually posted. If the appeal is not filed within the time limit~ the posted scores will stand and the appeal will be dismissed.,c0f181a6-f9f1-486d-9c7e-9543c9194661,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,9ba0d690-6a31-4212-969a-d2963fc7426d,,9.8.4,Competitors who are scheduled (or otherwise authorized by the Match Director) to complete all courses of fire in a match in a period of time less than the full duration of the match (e.g. 1 day format in a 3 day match etc.)~ are required to check their provisional match results in accordance with the special procedures and time limits specified by the Match Director (e.g. via a website)~ failing which scoring appeals will not be accepted. The relevant procedure must be published in advance in match literature and/or by way of a notice posted in a conspicuous place at the shooting range prior to commencement of the match (also see Section 6.6).,c0f181a6-f9f1-486d-9c7e-9543c9194661,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,1879c354-e6ea-4ddd-b198-b9de48a2ef30,,9.8.5,A Match Director may elect to have results posted electronically (e.g. via a website) either in addition to~ or as an alternative to~ physically printing them. If so~ the relevant procedure must be published in advance in match literature and/or by way of a notice posted in a conspicuous place at the shooting range prior to commencement of the match. Facilities (e.g. a computer) must be provided for competitors to view the results if a Match Director has elected to only have results posted electronically.,c0f181a6-f9f1-486d-9c7e-9543c9194661,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,1a65315e-76e3-4ceb-988e-719b73021ad4,,9.9.1,Moving targets which present at least a portion of the A zone when at rest (either before or after initial activation)~ or which continuously appear and disappear for the duration of a competitor's attempt at a COF~ are not disappearing and will always incur failure to engage and/or miss penalties.,b952d458-08b6-4f36-bab9-3b934503d4e9,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,4dd92fa2-00aa-445a-9c37-22d36e6b60bd,,9.9.2,Moving targets which do not comply with the above criteria are disappearing and will not incur failure to engage or miss penalties unless a competitor fails to activate the mechanism which initiates the target movement before or when firing his last shot for that course of fire.,b952d458-08b6-4f36-bab9-3b934503d4e9,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,a0cd31e5-a107-4e31-90bc-0738639b7643,,9.9.3,Stationary targets which present at least a portion of the A zone~ either before or after activation of a moving and/or concealing no-shoot or vision barrier~ are not disappearing and will incur failure to engage and/or miss penalties.,b952d458-08b6-4f36-bab9-3b934503d4e9,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,81a5bd3b-0226-4730-af84-a6429890ecdc,,9.9.4,Targets which present at least a portion of the A zone each time a competitor operates a mechanical activator (e.g. a rope~ lever~ pedal~ flap~ door etc.)~ are not subject to this section.,b952d458-08b6-4f36-bab9-3b934503d4e9,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,d8860740-72a2-45e4-8479-4e7e0900cf38,,9.9.5,If a COF requires that a competitor be confined to an apparatus which travels from one location to another location during his attempt at a COF~ any target which can only be engaged from the apparatus for part of its travel~ and which cannot subsequently be reengaged~ is deemed to be disappearing.,b952d458-08b6-4f36-bab9-3b934503d4e9,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,142e265d-1d1c-4310-97aa-4fb36ff02fcd,,9.10.1,Only the timing device operated by a Range Officer must be used to record the official elapsed time of a competitor's attempt at a course of fire. If a Range Officer assigned to a course of fire (or a more senior Match Official) deems that a timing device is faulty~ a competitor whose attempt cannot be credited with an accurate time will be required to reshoot the course of fire.,dd2d3768-2453-464c-8d76-d021c0bd515e,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,333f1230-47d5-46a4-9bf4-d87bcbd52a53,,9.10.2,If~ in the opinion of an Arbitration Committee~ the time credited to a competitor for a course of fire is deemed to be unrealistic~ the competitor will be required to reshoot the course of fire (see Rule 9.7.4).,dd2d3768-2453-464c-8d76-d021c0bd515e,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,3c138544-99a3-4afc-8041-142302479b66,,9.11.1,The official scoring program for all Level IV or higher matches is the latest version of the Windows� Match Scoring System (WinMSS)~ unless another scoring program is approved by the IPSC President. For other level matches~ no other scoring program can be used without the approval of the Regional Director of the host Region.,0fe944b0-96a9-4f94-9c01-04ec4560bba5,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,78cb38e1-da71-4eee-8492-0337a7e5d285,,10.1.1,Procedural penalties are imposed when a competitor fails to comply with procedures specified in a written stage briefing and/or is found to be in violation of other general rules. The Range Officer imposing the procedural penalties must clearly record the number of penalties~ and the reason why they were imposed~ on the competitor's score sheet.,c2e93aad-bb6e-4ef2-b573-74a08524e89d,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,f3d7afcd-a7d2-46b2-9601-f061d81b5309,,10.1.2,Procedural penalties are assessed at minus 10 points each.,c2e93aad-bb6e-4ef2-b573-74a08524e89d,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,d13defa3-1f09-4987-9a56-f07588366ad5,,10.1.3,A competitor disputing the application or number of procedural penalties may appeal to the Chief Range Officer and/or Range Master. A competitor who continues to be aggrieved may then lodge an appeal for arbitration.,c2e93aad-bb6e-4ef2-b573-74a08524e89d,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,c02d0d6e-483e-405d-bd25-a9a6113ae3d5,,10.1.4,Procedural penalties cannot be nullified by further competitor action. For example~ a competitor who fires a shot at a target while faulting a line will still incur the applicable penalties even though he subsequently shoots at the same target while not faulting the line.,c2e93aad-bb6e-4ef2-b573-74a08524e89d,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,62b0086e-f724-4696-b60d-ac5d855442ca,,10.2.1,A competitor who fires shots while any part of their body is touching the ground or any object beyond a Fault Line will receive 1 procedural penalty for each occurrence. No penalty is assessed if a competitor does not fire any shots while faulting except when Rule 2.2.1.5 applies.,3c12389f-f19d-491a-b12a-11194439067a,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,c2b6cfcb-03c7-48f8-9ad1-a27a74445c40,,10.2.2,A competitor who fails to comply with a procedure specified in the written stage briefing will incur 1 procedural penalty for each occurrence. However~ if a competitor has gained a significant advantage during non-compliance~ the competitor may be assessed 1 procedural penalty for each shot fired~ instead of a single penalty (e.g. firing one or more shots contrary to the required location~ shooting position or stance).,3c12389f-f19d-491a-b12a-11194439067a,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,454b2f16-ccf6-44ee-acb4-06a6acd9b41c,,10.2.3,Where multiple penalties are assessed in the above cases~ they must not exceed the maximum number of scoring hits that can be attained by the competitor. For example~ a competitor who gains an advantage while faulting a Fault Line where only 4 metal targets are visible will receive 1 procedural penalty for each shot fired while faulting~ up to a maximum of 4 procedural penalties~ regardless of the number of shots actually fired.,3c12389f-f19d-491a-b12a-11194439067a,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,6b7643e5-555a-488f-a4a2-b971baf25b76,,10.2.4,A competitor who fails to comply with a mandatory reload will incur 1 procedural penalty for each shot fired after the point where the reload was required until a reload is performed.,3c12389f-f19d-491a-b12a-11194439067a,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,d207e7ce-4206-4ea4-96c4-61c2b21b5c77,,10.2.5,In a Cooper Tunnel~ a competitor who disturbs one or more pieces of the overhead material will receive 1 procedural penalty for each piece of overhead material which falls. Overhead material which falls as a result of the competitor bumping or striking the uprights~ or as a result of muzzle gases or recoil~ will not be penalized.,3c12389f-f19d-491a-b12a-11194439067a,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,8f6811f8-e5b2-4e9d-9a5b-6c6fc07b1632,,10.2.6,A competitor who is creeping (e.g. moving hands towards the firearm~ a reloading device or ammunition) or physically moving to a more advantageous shooting position or stance after the "Standby" command and prior to issuance of the Start Signal~ will incur 1 procedural penalty. If the Range Officer can stop the competitor in time~ a warning will be issued for the first offense and the competitor will be restarted.,3c12389f-f19d-491a-b12a-11194439067a,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,3b25d83f-c5cd-4c10-a753-00e78dc3c862,,10.2.7,A competitor who fails to engage any scoring target with at least one round will incur 1 procedural penalty per target~ plus the applicable number of misses~ except where the provisions of Rule 9.9.2 apply.,3c12389f-f19d-491a-b12a-11194439067a,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,dbfe6702-3b9e-480b-a163-91a261c5c8ee,,10.2.8,If a course of fire (or part thereof) stipulates shooting strong or weak hand only~ a competitor will incur one procedural penalty for each occurrence of touching the handgun (or scooping it from a table etc.) with the other hand after the Start Signal (or from the point where single hand shooting has been stipulated). Exceptions are releasing an external safety (without scooping)~ reloading or correcting a malfunction. However~ the procedural penalty will be applied on a "per shot fired" basis when a competitor uses the other hand or arm to:,3c12389f-f19d-491a-b12a-11194439067a,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,3271dd28-86f7-4e44-a934-5f6a74c8883d,,10.2.9,A competitor who leaves a shooting location may return and shoot again from the same location provided they do so safely. However~ written stage briefings for Classifiers and Level I & II matches may prohibit such actions~ in which case 1 procedural penalty per shot fired will apply.,3c12389f-f19d-491a-b12a-11194439067a,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,87ce526b-3f15-470a-9dc7-2aab452d9c27,,10.2.10,Special penalty: A competitor unable to fully execute any part of a course of fire due to incapacity or injury may~ prior to making his attempt at the course of fire~ request that the Range Master apply a penalty in lieu of the stated course requirement.,3c12389f-f19d-491a-b12a-11194439067a,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,0873fad9-27d2-4851-a9a3-b1b2ec28089f,,10.2.11,A competitor who fires shots over a barrier constructed to a height of at least 1.8 meters will incur 1 procedural penalty for each shot fired (also see Rule 2.2.3.1).,3c12389f-f19d-491a-b12a-11194439067a,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,74879bb6-4dd4-4f3d-8606-c1d30142ef3c,,10.3.1,A competitor who commits a safety infraction or any other prohibited activity during an IPSC match will be disqualified~ and will be prohibited from attempting any remaining courses of fire regardless of the schedule or physical layout of the match~ pending the verdict of any appeal submitted in accordance with Chapter 11 of these rules.,fe23ef9b-dabc-4bde-a373-2204d37fdc01,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,ffd98a72-820a-4d11-9fa1-61dd898c7244,,10.3.2,When a disqualification is issued~ the Range Officer must record the reasons for the disqualification~ and the time and date of the incident~ on the competitor's score sheet~ and the Range Master must be notified as soon as possible.,fe23ef9b-dabc-4bde-a373-2204d37fdc01,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,d3b2c5f7-553f-4cd9-8a24-34da629a3f82,,10.3.3,Scores for a competitor who has received a disqualification must not be deleted from match results~ and match results must not be declared final by the Match Director~ until the time limit prescribed in Rule 11.3.1 has passed~ provided no appeal to arbitration on any matter has been submitted to the Range Master (or his delegate).,fe23ef9b-dabc-4bde-a373-2204d37fdc01,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,5d8e43f2-203c-4ddc-9031-a554eb0c27c1,,10.3.4,If an appeal to arbitration is submitted within the time limit prescribed in Rule 11.3.1~ the provisions of Rule 11.3.2 will prevail.,fe23ef9b-dabc-4bde-a373-2204d37fdc01,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,1bd6e0bf-9434-418f-ba7d-a22acaee11de,,10.3.5,Scores for a competitor who has completed a pre-match or main match without a disqualification will not be affected by a disqualification received while that competitor is participating in a Shoot-Off or other side match (also see Rule 6.2.4).,fe23ef9b-dabc-4bde-a373-2204d37fdc01,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,471abe57-4466-4f13-82e5-08159d7c90ab,,10.4.1,A shot~ which travels over a backstop~ a berm or in any other direction~ specified in the written stage briefing by the match organizers as being unsafe. Note that a competitor who legitimately fires a shot at a target~ which then travels in an unsafe direction~ will not be disqualified~ but the provisions of Section 2.3 may apply.,9c86cab2-9603-4cb7-bdb3-d5673238f904,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,f6671d44-a285-4600-b09c-7786f351d5a0,,10.4.2,A shot which strikes the ground within 3 meters of the competitor~ except when shooting at a paper target closer than 3 meters to the competitor. A shot which strikes the ground within 3 meters of the competitor due to a "squib" load is exempt from this rule.,9c86cab2-9603-4cb7-bdb3-d5673238f904,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,77cc7ab9-9849-4e95-b865-f731e5a2370d,,10.4.3,A shot which occurs while actually loading~ reloading or unloading a firearm. This includes any shot fired during the procedures outlined in Rules 8.3.1 and 8.3.7 (also see Rule 10.5.9).,9c86cab2-9603-4cb7-bdb3-d5673238f904,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,2d4f79a4-706b-4cad-b6cd-55fa18f646d2,,10.4.4,A shot which occurs during remedial action in the case of a malfunction.,9c86cab2-9603-4cb7-bdb3-d5673238f904,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,f9cfb8ec-36c2-4ce5-a34d-8e06995b9b20,,10.4.5,A shot which occurs while transferring a handgun between hands.,9c86cab2-9603-4cb7-bdb3-d5673238f904,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,4d3b417f-b0e2-4037-b493-43085d60c148,,10.4.6,A shot which occurs during movement~ except while actually shooting at targets.,9c86cab2-9603-4cb7-bdb3-d5673238f904,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,f5741056-7184-46f1-8fbf-0479c87e7930,,10.4.7,A shot fired at a metal target from a distance of less than 7 meters~ measured from the front of the target to the nearest part of the competitor's body in contact with the ground (see Rule 2.1.3).,9c86cab2-9603-4cb7-bdb3-d5673238f904,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,ec1f389b-eff9-471a-97a7-ffd8b30a43a4,,10.4.8,In this Section~ if it can be established that the cause of the discharge is due to a broken or defective part of the firearm~ the competitor has not committed any safety infraction in this Section~ and a disqualification will not be invoked~ but the competitor's scores for that stage will be zero.,9c86cab2-9603-4cb7-bdb3-d5673238f904,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,a90f0c23-87df-4af6-b68c-a2783db092d6,,10.5.1,Handling a firearm at any time except when in a designated Safety Area or when under the supervision of~ and in response to a direct command issued by~ a Range Officer.,c54e479a-8948-46b2-86d4-c92523b67b0e,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,9e360820-3396-4607-a779-c27bf3707990,,10.5.2,Allowing the muzzle of a firearm to point uprange~ or past the default~ or specific safe angles of fire during a course of fire~ (limited exceptions: see Rules 2.1.2.1~ 5.2.7.3 and 10.5.6).,c54e479a-8948-46b2-86d4-c92523b67b0e,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,9a305e7d-aba2-4811-89a6-902b5805b7cf,,10.5.3,If at any time during the course of fire~ a competitor drops his firearm or causes it to fall~ loaded or not. Note that a competitor who~ for any reason during a course of fire~ safely and intentionally places the firearm on the ground or other stable object will not be disqualified provided:,c54e479a-8948-46b2-86d4-c92523b67b0e,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,ce5ad5bc-bf21-4d97-8df8-249519509ae1,,10.5.4,Drawing or holstering a handgun within the confines of a tunnel.,c54e479a-8948-46b2-86d4-c92523b67b0e,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,32233900-e708-4b25-b818-bb0ac148fbc6,,10.5.5,Allowing the muzzle of a handgun to point at any part of the competitor's body during a course of fire (i.e. sweeping). A disqualification is not applicable if sweeping occurs while drawing or re-holstering a gun~ provided the competitor's fingers are clearly outside the trigger guard.,c54e479a-8948-46b2-86d4-c92523b67b0e,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,a37d4045-57ec-421c-878a-a6c01a16bb1c,,10.5.6,Allowing the muzzle of a loaded handgun to point rearwards uprange beyond a radius of 1 meter from a competitor's feet during drawing or re-holstering. The 1 meter concession only applies when a competitor is facing directly downrange.,c54e479a-8948-46b2-86d4-c92523b67b0e,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,481257e0-c3b8-49b2-aec3-4f2ab62a6bd3,,10.5.7,Wearing or using more than one firearm during a course of fire.,c54e479a-8948-46b2-86d4-c92523b67b0e,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,709b5d15-b998-4fae-81f5-b362d51a87e5,,10.5.8,Failure to keep the finger outside the trigger guard while clearing a malfunction where the competitor clearly moves the firearm away from aiming at targets.,c54e479a-8948-46b2-86d4-c92523b67b0e,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,15f8e8cc-9b5a-4355-a906-f91194949afd,,10.5.9,Failure to keep the finger outside the trigger guard during loading~ reloading~ or unloading except where specifically permitted (see Rules 8.1.2.5~ 8.3.7.1 and 8.7.1).,c54e479a-8948-46b2-86d4-c92523b67b0e,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,a1db2b11-3c52-4b6f-9665-ed95d658a9a5,,10.5.10,Failure to keep the finger outside the trigger guard during movement in accordance with Rule 8.5.1.,c54e479a-8948-46b2-86d4-c92523b67b0e,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,5d76619f-0060-470e-8ee1-a479ce9f156b,,10.5.11,Having a loaded and holstered handgun~ in any of the following conditions:,c54e479a-8948-46b2-86d4-c92523b67b0e,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,f10a7db7-63e1-4ef1-b757-16a737ee6aa7,,10.5.12,Handling live or dummy ammunition in a Safety Area~ contrary to Rule 2.4.4.,c54e479a-8948-46b2-86d4-c92523b67b0e,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,8ac58579-2538-4de8-89e5-1cc796dfeae3,,10.5.13,Having a loaded firearm other than when specifically authorized by a Range Officer.,c54e479a-8948-46b2-86d4-c92523b67b0e,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,5b8ee39f-da42-41ef-b7db-4c07399d6452,,10.5.14,Retrieving a dropped firearm. Dropped firearms must always be retrieved by a Range Officer who will~ after checking and/or clearing the firearm~ place it directly into the competitor's gun case~ gun bag or holster. Dropping an unloaded firearm or causing it to fall outside of a course of fire is not an infraction. However~ a competitor who retrieves a dropped firearm will receive a disqualification.,c54e479a-8948-46b2-86d4-c92523b67b0e,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,48323594-ed50-4ebb-90b7-2a85605343de,,10.5.15,Using prohibited and/or unsafe ammunition (see Rules 5.5.4~ 5.5.5 and 5.5.6)~ and/or using a prohibited firearm (see Rules 5.1.10 and 5.1.11).,c54e479a-8948-46b2-86d4-c92523b67b0e,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,786e5b08-6b56-4d33-be9d-6732d9f1256f,,10.6.1,Competitors will be disqualified for conduct which a Range Officer deems to be unsportsmanlike. Examples include~ but are not limited to~ cheating~ dishonesty~ failing to comply with the reasonable directions of a Match Official~ or any behavior likely to bring the sport into disrepute. The Range Master must be notified as soon as possible.,4858f909-7ee2-4fed-8102-f0feff186106,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,8fd6d0bd-9f1c-4192-8920-d42e3ee2d85a,,10.6.2,A competitor who is deemed by a Range Officer to have intentionally removed or caused the loss of eye or ear protection in order to gain a reshoot or advantage will be disqualified.,4858f909-7ee2-4fed-8102-f0feff186106,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,ab1069e8-1517-49ee-a55b-aad19b5092a0,,10.6.3,Other persons may be expelled from the range for conduct which a Range Officer deems to be unacceptable. Examples include~ but are not limited to~ failing to comply with the reasonable directions of a Match Official~ interference with the operation of a course of fire and/or a competitor's attempt thereof~ and any other behavior likely to bring the sport into disrepute.,4858f909-7ee2-4fed-8102-f0feff186106,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,05443697-19b7-4590-8ef4-5887099ebea6,,10.7.1,All persons are required to be in complete control both mentally and physically during IPSC matches.,813e1e92-2940-4573-af07-8d33fdfb3cb1,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,48825a5c-c046-4bd2-bdc8-5a9c8b13a9fa,,10.7.2,IPSC considers the abuse of alcoholic products~ non-prescription and non-essential drugs and the use of illegal or performance enhancing drugs~ irrespective of how they are taken or administered~ to be an extremely serious offense.,813e1e92-2940-4573-af07-8d33fdfb3cb1,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,3e57e5c1-de29-43a3-bbbe-43219e0ca267,,10.7.3,Except when used for medicinal purposes~ competitors and officials at matches must not be affected by drugs (including alcohol) of any sort during matches. Any person~ who in the opinion of the Range Master is visibly under the influence of any of the items described herein~ will be disqualified from the match and may be required to leave the range.,813e1e92-2940-4573-af07-8d33fdfb3cb1,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,b4d2155f-94d0-45bf-af08-e5342e48af6f,,10.7.4,IPSC reserves the right to prohibit any general or specific substances and to introduce tests for the presence of these substances at any time (see separate IPSC Anti-Doping Rules).,813e1e92-2940-4573-af07-8d33fdfb3cb1,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,eb01cb56-8e22-4b03-ad08-6d52459d1300,Administration,11.1.1,Occasional disputes are inevitable in any competitive activity governed by rules. It is recognized that at the more significant match levels the outcome is much more important to the individual competitor. However~ effective match administration and planning will prevent most if not all disputes.,810953b6-4a54-4d91-930d-d4b791ace059,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,02143ca2-727d-4e2f-b260-26c55d42e7df,Access,11.1.2,Appeals may be submitted to arbitration in accordance with the following rules for any matter except where specifically denied by another rule. Appeals arising from a disqualification for a safety infraction will only be accepted to determine whether exceptional circumstances warrant reconsideration of the disqualification. However~ the commission of the infraction as described by the Match Official is not subject to challenge or appeal.,810953b6-4a54-4d91-930d-d4b791ace059,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,b093e911-225c-4e52-bd9d-4c052a1d52f0,Appeals,11.1.3,The Range Officer makes decisions initially. If the appellant disagrees with a decision~ the Chief Range Officer for the stage or area in question should be asked to rule. If a disagreement still exists~ the Range Master must be asked to rule.,810953b6-4a54-4d91-930d-d4b791ace059,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
RULE,022484f8-9258-41b0-8ae8-4a670fb68cc8,Appeal to Committee,11.1.4,Should the appellant continue to disagree with the decision he may appeal to the Arbitration Committee by submitting a first party appeal.,810953b6-4a54-4d91-930d-d4b791ace059,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
